                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.9544,                0.73144,                 0.9578,                0.52314,                0.81928,                 0.6039,                0.47707,                0.92783,                 1.2077,                0.92605,              0.0014745,              0.0014745,              0.0014745
                     37,                0.94649,                0.70199,                 0.9548,                0.53951,                0.84562,                0.59695,                0.49028,                  1.011,                 1.5181,                 1.0064,               0.001469,               0.001469,               0.001469
                     38,                0.93593,                0.69191,                0.94513,                0.52649,                0.89817,                0.57227,                0.46367,                0.84437,                 1.2011,                0.99443,              0.0014635,              0.0014635,              0.0014635
                     39,                0.92033,                0.67351,                0.93783,                0.50013,                0.86462,                0.59567,                0.49184,                0.97772,                 1.4526,                0.99729,               0.001458,               0.001458,               0.001458
                     40,                 0.8976,                0.67369,                0.94088,                0.50903,                0.84124,                0.56402,                0.45068,                0.97787,                 1.3832,                 1.0178,              0.0014525,              0.0014525,              0.0014525
                     41,                0.92717,                0.67168,                0.94592,                0.47398,                0.90381,                0.55841,                0.44816,                0.87813,                 1.3969,                0.91011,               0.001447,               0.001447,               0.001447
                     42,                0.92155,                0.67477,                0.94076,                 0.5082,                0.85498,                0.55519,                0.44969,                0.88944,                 1.3821,                0.96664,              0.0014415,              0.0014415,              0.0014415
                     43,                0.91528,                0.67923,                0.94171,                0.52401,                0.91552,                0.57618,                0.47474,                0.95918,                 1.2472,                0.95619,               0.001436,               0.001436,               0.001436
                     44,                0.91016,                0.67857,                0.93687,                0.51765,                0.88348,                0.58348,                0.47793,                0.89422,                 1.3971,                0.94128,              0.0014305,              0.0014305,              0.0014305
                     45,                0.91459,                0.68388,                0.94664,                0.55324,                0.81069,                0.60502,                0.49062,                0.80513,                 1.3255,                0.90357,               0.001425,               0.001425,               0.001425
                     46,                0.92766,                0.66531,                0.94919,                0.54624,                0.87767,                0.65289,                0.52454,                0.95567,                 1.2836,                0.95778,              0.0014195,              0.0014195,              0.0014195
                     47,                0.89528,                0.64029,                0.93334,                0.53117,                0.91837,                0.61154,                0.50905,                 0.9094,                 1.2706,                0.95444,              0.0014139,              0.0014139,              0.0014139
                     48,                 0.9306,                0.66407,                0.95211,                0.50664,                0.90134,                0.61095,                0.50421,                0.87422,                 1.2976,                0.91367,              0.0014084,              0.0014084,              0.0014084
                     49,                0.89924,                0.65419,                0.93459,                0.53295,                0.83401,                0.58536,                0.48399,                 0.8366,                 1.2264,                 0.9186,              0.0014029,              0.0014029,              0.0014029
                     50,                0.90816,                0.65355,                0.93074,                 0.5118,                0.89654,                0.60396,                0.49358,                0.91529,                 1.3086,                0.98166,              0.0013974,              0.0013974,              0.0013974
                     51,                0.89604,                0.64431,                0.92668,                0.51591,                0.86538,                0.59374,                0.47381,                0.95906,                 1.4145,                 0.9862,              0.0013919,              0.0013919,              0.0013919
                     52,                0.84587,                0.61636,                0.92461,                0.52399,                 0.8784,                0.56662,                0.45402,                0.91237,                 1.3422,                0.91242,              0.0013864,              0.0013864,              0.0013864
                     53,                0.85882,                0.62803,                0.93001,                0.50538,                0.91552,                0.55478,                0.45657,                0.83493,                 1.2481,                0.98869,              0.0013809,              0.0013809,              0.0013809
                     54,                0.87184,                0.61542,                0.93093,                0.50686,                0.91101,                0.60155,                0.48247,                0.85433,                 1.2534,                0.97991,              0.0013754,              0.0013754,              0.0013754
                     55,                0.86726,                0.62411,                0.92413,                0.48793,                0.85002,                0.57969,                0.46849,                0.99134,                 1.3643,                 1.0208,              0.0013699,              0.0013699,              0.0013699
                     56,                0.86967,                0.60794,                0.92396,                0.53327,                0.88206,                0.54312,                0.43479,                 0.9386,                 1.2842,                0.99921,              0.0013644,              0.0013644,              0.0013644
                     57,                0.85566,                0.59913,                0.92683,                0.51505,                0.86334,                0.55175,                0.45367,                0.82647,                 1.2511,                0.95009,              0.0013589,              0.0013589,              0.0013589
                     58,                0.85628,                0.61115,                0.92693,                0.53287,                0.88491,                0.53783,                0.44341,                0.80653,                  1.379,                0.91274,              0.0013534,              0.0013534,              0.0013534
                     59,                0.85481,                0.63666,                0.92373,                0.52868,                0.91113,                0.58263,                0.47015,                0.79455,                 1.4993,                 0.8874,              0.0013479,              0.0013479,              0.0013479
                     60,                 0.8661,                0.62347,                0.92689,                0.50279,                0.87625,                 0.5486,                0.44229,                0.89216,                 1.2038,                0.91277,              0.0013424,              0.0013424,              0.0013424
                     61,                0.88642,                0.63579,                0.92894,                0.52844,                0.90781,                0.53766,                0.42962,                0.86728,                 1.3099,                0.97992,              0.0013369,              0.0013369,              0.0013369
                     62,                0.86771,                0.60517,                0.92516,                0.53452,                 0.9244,                0.59361,                0.49137,                0.93353,                 1.2263,                0.97307,              0.0013314,              0.0013314,              0.0013314
                     63,                0.87935,                0.61799,                0.92729,                  0.523,                0.84421,                0.57294,                0.47422,                0.82785,                 1.3985,                0.90025,              0.0013259,              0.0013259,              0.0013259
                     64,                0.85849,                0.61841,                0.92349,                 0.5297,                0.83543,                 0.6043,                0.50162,                0.84133,                 1.3882,                0.90696,              0.0013204,              0.0013204,              0.0013204
                     65,                0.84454,                0.60686,                0.91534,                0.53027,                0.87043,                0.57174,                0.46874,                0.96484,                 1.3743,                0.96196,              0.0013149,              0.0013149,              0.0013149
                     66,                0.82754,                0.59593,                0.91123,                0.55041,                0.85002,                0.59019,                 0.4836,                 0.8377,                 1.4781,                0.89914,              0.0013094,              0.0013094,              0.0013094
                     67,                0.84625,                0.62531,                0.91806,                0.53359,                0.88645,                0.61102,                0.50381,                0.84335,                 1.2374,                0.97093,              0.0013039,              0.0013039,              0.0013039
                     68,                0.85748,                 0.6016,                0.92444,                0.51984,                0.85084,                0.53814,                0.43842,                0.92557,                 1.3473,                0.99368,              0.0012984,              0.0012984,              0.0012984
