                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5595,                 2.9236,                 1.1858,                 0.0034,                0.95918,                0.21055,                0.13999,                 1.3316,                 3.5766,                 1.1263,             0.00054477,             0.00054477,             0.00054477
                      2,                 1.3113,                 1.8326,                 1.0666,                0.48967,                0.72368,                0.52313,                0.35271,                 1.1162,                 1.9793,                0.96859,              0.0010895,              0.0010895,              0.0010895
                      3,                  1.241,                 1.5706,                 1.0669,                0.53926,                0.74236,                0.56083,                0.38358,                 1.3098,                 1.9444,                 1.0824,              0.0016233,              0.0016233,              0.0016233
                      4,                 1.2497,                 1.4337,                 1.0647,                0.47393,                0.79988,                0.52693,                0.37147,                 1.0544,                 1.8755,                0.98389,              0.0016175,              0.0016175,              0.0016175
                      5,                  1.203,                 1.2948,                 1.0567,                0.48228,                 0.6915,                0.51697,                0.36756,                 1.0869,                 2.0385,                 1.0239,               0.001601,               0.001601,               0.001601
                      6,                 1.1629,                 1.1926,                 1.0325,                0.47436,                 0.8507,                0.57154,                0.41752,                 1.1785,                 1.6476,                0.99541,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.169,                 1.1169,                 1.0406,                0.54528,                0.66255,                0.52024,                0.31724,                 1.2739,                  1.696,                 1.1353,               0.001568,               0.001568,               0.001568
                      8,                 1.1363,                 1.0638,                 1.0197,                0.54919,                0.80944,                0.56201,                0.42702,                0.99165,                 1.2523,                0.97826,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1022,                0.98526,                 1.0094,                0.53848,                0.64604,                0.54113,                0.38093,                 1.1679,                 1.4199,                 1.0533,               0.001535,               0.001535,               0.001535
                     10,                  1.084,                0.94859,                0.99973,                0.52727,                 0.7322,                0.58798,                0.45098,                0.92473,                 1.2659,                 0.9619,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.088,                0.92798,                 1.0097,                0.54913,                0.84872,                0.58315,                0.45178,                 1.0085,                 1.5253,                0.92575,               0.001502,               0.001502,               0.001502
                     12,                 1.0521,                0.88931,                0.98622,                 0.5385,                0.85471,                0.60489,                0.43989,                0.95879,                 1.5998,                 1.0093,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0414,                0.85198,                0.98568,                0.53811,                 0.8337,                0.59043,                0.47147,                0.99374,                 1.2432,                0.94158,               0.001469,               0.001469,               0.001469
                     14,                 1.0374,                0.84361,                 0.9802,                0.55327,                0.79034,                0.57309,                0.44232,                 1.0661,                 1.2839,                 1.1266,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0559,                0.84604,                0.99181,                0.54425,                0.75641,                0.53963,                0.37393,                 1.0324,                 1.2982,                 1.0125,               0.001436,               0.001436,               0.001436
                     16,                  1.046,                0.85206,                 0.9862,                0.51793,                0.88941,                0.58474,                0.45029,                0.88629,                  1.349,                0.93183,              0.0014195,              0.0014195,              0.0014195
                     17,                  1.021,                0.79904,                0.97794,                0.52882,                0.86747,                0.60765,                0.47204,                 1.0686,                 1.3661,                 1.0826,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0158,                0.80749,                0.97479,                0.54348,                 0.8689,                0.59747,                0.46365,                0.89483,                  1.459,                 0.9858,              0.0013864,              0.0013864,              0.0013864
                     19,                0.97999,                0.74919,                0.96083,                0.52391,                0.88052,                0.60364,                0.48514,                0.82197,                 1.5431,                0.89851,              0.0013699,              0.0013699,              0.0013699
                     20,                0.98668,                0.77217,                0.96353,                0.52093,                0.89827,                0.59195,                0.47439,                0.87712,                 1.3162,                0.95418,              0.0013534,              0.0013534,              0.0013534
                     21,                0.99541,                0.80863,                0.96396,                 0.5291,                0.88198,                0.57527,                0.45208,                0.87952,                 1.4121,                0.92816,              0.0013369,              0.0013369,              0.0013369
                     22,                0.99908,                0.76893,                0.96779,                0.54352,                0.86462,                 0.5419,                0.43708,                0.82733,                 1.2934,                 0.9127,              0.0013204,              0.0013204,              0.0013204
                     23,                0.95397,                0.75085,                0.96241,                 0.5257,                0.84421,                0.61554,                0.48534,                 1.0123,                 1.1801,                  0.994,              0.0013039,              0.0013039,              0.0013039
                     24,                0.99491,                0.77299,                0.97179,                0.52668,                0.88633,                0.56216,                0.44693,                0.85495,                 1.4732,                0.93974,              0.0012874,              0.0012874,              0.0012874
                     25,                0.94941,                0.73548,                0.94922,                 0.5363,                0.87767,                0.55427,                0.43953,                0.93374,                 1.1785,                0.97778,              0.0012709,              0.0012709,              0.0012709
                     26,                0.96942,                0.73381,                0.96108,                0.53091,                0.85405,                0.56192,                0.44462,                  1.143,                 1.2796,                 1.1494,              0.0012544,              0.0012544,              0.0012544
                     27,                0.94842,                0.73234,                0.94984,                0.52969,                0.70729,                0.53646,                0.42079,                0.93444,                 1.4635,                 1.0091,              0.0012379,              0.0012379,              0.0012379
                     28,                0.95141,                0.73013,                 0.9445,                0.50781,                0.85529,                0.57697,                0.45636,                0.88452,                  1.224,                0.91851,              0.0012214,              0.0012214,              0.0012214
                     29,                0.93537,                0.71716,                 0.9537,                0.52983,                0.88805,                0.57578,                0.46191,                0.86872,                 1.4278,                0.98913,              0.0012049,              0.0012049,              0.0012049
                     30,                0.93046,                0.70161,                0.95265,                 0.5339,                0.84314,                0.60165,                0.48695,                0.92987,                 1.3618,                 0.9438,              0.0011884,              0.0011884,              0.0011884
                     31,                0.89724,                0.66895,                0.93588,                0.50936,                0.88491,                0.55547,                0.44641,                0.79458,                 1.2705,                0.92352,              0.0011719,              0.0011719,              0.0011719
                     32,                0.91081,                0.67068,                 0.9387,                0.49976,                0.91842,                0.60418,                 0.4885,                0.84541,                 1.2798,                0.96457,              0.0011554,              0.0011554,              0.0011554
                     33,                0.93534,                0.68845,                0.94199,                0.55365,                0.87471,                0.57388,                0.47116,                0.88807,                 1.2909,                 1.0147,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.9133,                0.66717,                0.93481,                0.48094,                0.89129,                0.52307,                0.40775,                0.98374,                 1.4491,                 1.0335,              0.0011224,              0.0011224,              0.0011224
                     35,                 0.9015,                0.66642,                0.93635,                0.52358,                0.88066,                0.58091,                0.47506,                0.96629,                 1.4553,                0.95969,              0.0011059,              0.0011059,              0.0011059
                     36,                0.92036,                0.69109,                0.94472,                0.46581,                0.78465,                0.54509,                0.40575,                0.94972,                 1.5031,                0.96594,              0.0010894,              0.0010894,              0.0010894
                     37,                0.90111,                0.67426,                0.93254,                0.51469,                0.84877,                 0.5817,                0.47553,                0.77262,                 1.2761,                0.89047,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.8882,                0.64777,                 0.9254,                0.52565,                0.82238,                0.55519,                0.44342,                0.90444,                 1.2412,                 1.0168,              0.0010564,              0.0010564,              0.0010564
                     39,                0.89998,                0.65812,                 0.9328,                 0.5342,                 0.8543,                0.57154,                0.47557,                0.84242,                 1.2986,                0.89888,              0.0010399,              0.0010399,              0.0010399
                     40,                0.86226,                0.64874,                0.92848,                0.53424,                0.87909,                0.54506,                0.44596,                0.88714,                 1.2128,                0.96966,              0.0010234,              0.0010234,              0.0010234
                     41,                0.89545,                0.63894,                0.93351,                0.48844,                0.82095,                0.51842,                0.40574,                 1.0575,                 1.3586,                 1.1749,              0.0010069,              0.0010069,              0.0010069
                     42,                0.88649,                0.63173,                0.92477,                0.53299,                0.86887,                0.56532,                0.46694,                0.80444,                 1.2802,                0.96833,             0.00099036,             0.00099036,             0.00099036
                     43,                0.87989,                0.64153,                0.92695,                0.51334,                0.88372,                0.58925,                0.48394,                0.91478,                  1.193,                0.94682,             0.00097386,             0.00097386,             0.00097386
                     44,                0.86694,                0.62137,                 0.9291,                0.54365,                0.84706,                0.57683,                0.47143,                0.88063,                 1.3694,                  1.005,             0.00095736,             0.00095736,             0.00095736
                     45,                 0.8623,                0.63529,                0.93243,                0.52451,                0.91113,                0.59322,                0.49192,                0.85161,                 1.2423,                0.96816,             0.00094085,             0.00094085,             0.00094085
                     46,                0.88414,                0.62431,                0.93232,                 0.5011,                0.86604,                0.59719,                 0.4903,                 0.8678,                  1.361,                0.90657,             0.00092435,             0.00092435,             0.00092435
                     47,                0.87325,                0.61861,                0.92544,                0.51529,                0.88348,                0.60315,                 0.5071,                0.83405,                 1.1789,                0.94954,             0.00090785,             0.00090785,             0.00090785
                     48,                0.86602,                0.62158,                0.93234,                0.50865,                0.88583,                0.59846,                0.49129,                0.82341,                 1.2857,                0.93106,             0.00089134,             0.00089134,             0.00089134
                     49,                0.86102,                0.61777,                0.92153,                 0.5599,                0.83685,                0.60487,                0.50104,                0.83803,                 1.3064,                0.92347,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.8633,                0.60059,                0.91362,                0.52304,                0.85145,                0.55328,                0.45294,                0.87923,                 1.2127,                0.92251,             0.00085834,             0.00085834,             0.00085834
                     51,                0.84986,                0.60293,                0.91171,                0.51085,                0.89072,                0.57028,                0.47705,                0.79258,                 1.4453,                0.92739,             0.00084184,             0.00084184,             0.00084184
                     52,                0.81715,                0.59065,                0.91419,                0.50335,                0.88194,                0.58597,                0.48668,                0.82802,                 1.3757,                0.99439,             0.00082533,             0.00082533,             0.00082533
                     53,                0.83029,                0.58845,                0.92052,                0.50048,                 0.8994,                 0.5656,                0.46809,                 0.8611,                 1.2833,                 0.9538,             0.00080883,             0.00080883,             0.00080883
                     54,                0.83793,                0.58055,                0.91768,                0.52717,                 0.8136,                0.56759,                0.45991,                0.85605,                 1.3684,                0.97449,             0.00079233,             0.00079233,             0.00079233
                     55,                0.82485,                0.57429,                0.90635,                0.49587,                 0.8645,                0.59481,                0.49584,                 0.8561,                 1.2746,                0.97321,             0.00077582,             0.00077582,             0.00077582
                     56,                0.81683,                0.55497,                0.90963,                0.49112,                 0.8917,                0.56002,                0.46731,                0.77691,                 1.3234,                0.88303,             0.00075932,             0.00075932,             0.00075932
                     57,                0.81124,                0.56031,                0.91104,                0.52487,                0.86528,                0.56414,                0.47018,                0.79554,                 1.3077,                   0.96,             0.00074282,             0.00074282,             0.00074282
                     58,                0.80514,                0.57167,                0.90934,                 0.5344,                0.86747,                 0.5464,                0.45145,                0.83444,                 1.3613,                 1.0059,             0.00072631,             0.00072631,             0.00072631
                     59,                0.80969,                0.58086,                 0.9093,                0.51723,                0.84563,                0.56948,                0.47767,                0.76422,                 1.4146,                 0.9054,             0.00070981,             0.00070981,             0.00070981
                     60,                0.80997,                0.57441,                0.90724,                0.49902,                0.88234,                0.55869,                0.46498,                0.81001,                 1.3577,                 0.9442,             0.00069331,             0.00069331,             0.00069331
                     61,                0.82983,                 0.5864,                0.90597,                0.51489,                0.85584,                0.52897,                0.43963,                0.89298,                 1.2984,                  1.004,              0.0006768,              0.0006768,              0.0006768
                     62,                0.80563,                0.55809,                0.90908,                0.51338,                0.88491,                 0.5485,                0.45872,                0.87136,                 1.3616,                0.95792,              0.0006603,              0.0006603,              0.0006603
                     63,                0.81457,                0.56882,                0.90562,                0.50508,                 0.8912,                0.55205,                0.45553,                0.80799,                 1.4989,                0.89333,              0.0006438,              0.0006438,              0.0006438
